1779792814.736403 server started (1080152): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1779792814.736424 on Linux 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025
1779792814.736431 using libevent 2.1.12-stable poll
1779792814.736434 using ncurses 6.4 20240113
1779792814.736510 input_key_build: 0x10e003 (PasteStart) is \033[200~
1779792814.736514 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1779792814.736517 input_key_build: 0x10e195 (F1) is \033OP
1779792814.736519 input_key_build: 0x10e196 (F2) is \033OQ
1779792814.736521 input_key_build: 0x10e197 (F3) is \033OR
1779792814.736523 input_key_build: 0x10e198 (F4) is \033OS
1779792814.736526 input_key_build: 0x10e199 (F5) is \033[15~
1779792814.736528 input_key_build: 0x10e19a (F6) is \033[17~
1779792814.736530 input_key_build: 0x10e19b (F7) is \033[18~
1779792814.736533 input_key_build: 0x10e19c (F8) is \033[19~
1779792814.736536 input_key_build: 0x10e19d (F9) is \033[20~
1779792814.736538 input_key_build: 0x10e19e (F10) is \033[21~
1779792814.736540 input_key_build: 0x10e19f (F11) is \033[23~
1779792814.736542 input_key_build: 0x10e1a0 (F12) is \033[24~
1779792814.736544 input_key_build: 0x10e1a1 (IC) is \033[2~
1779792814.736546 input_key_build: 0x10e1a2 (DC) is \033[3~
1779792814.736548 input_key_build: 0x10e1a3 (Home) is \033[1~
1779792814.736551 input_key_build: 0x10e1a4 (End) is \033[4~
1779792814.736553 input_key_build: 0x10e1a5 (NPage) is \033[6~
1779792814.736555 input_key_build: 0x10e1a6 (PPage) is \033[5~
1779792814.736557 input_key_build: 0x10e1a7 (BTab) is \033[Z
1779792814.736559 input_key_build: 0x10e1a8 (Up) is \033[A
1779792814.736561 input_key_build: 0x10e1a9 (Down) is \033[B
1779792814.736564 input_key_build: 0x10e1aa (Left) is \033[D
1779792814.736566 input_key_build: 0x10e1ab (Right) is \033[C
1779792814.736568 input_key_build: 0x10e1ac (KP/) is /
1779792814.736570 input_key_build: 0x10e1ad (KP*) is *
1779792814.736573 input_key_build: 0x10e1ae (KP-) is -
1779792814.736575 input_key_build: 0x10e1af (KP7) is 7
